,pscode,企业名称,所在区域,详细地址,经度,纬度
0,CB67871E1EE812ADB3EF9DC7421171B9,澧县海创环保科技有限责任公司,常德市,湖南省常德市澧县澧南镇,111.705560,29.605556
1,661B669BFE73BF30039221AF69B62479,界首市伟明环保能源有限公司,阜阳市,安徽省阜阳市界首市西城街道吕闫村,115.357780,33.298611
2,75D07C17CA9B51A93661CDA411E83188,光大环保能源（鹰潭）有限公司,鹰潭市,江西省鹰潭市月湖区杨碧村马塘窝,117.078064,28.235556
3,1DCC00CE2B789683E9DFDAAF5570721B,广州环投福山环保能源有限公司（第三资源热力电厂）,广州市,广州市黄埔区九龙镇福山村西侧,113.506386,23.453056
4,FD46DC84DEB2A8EF9CA9BD0C64F3704B,宁阳盛运环保电力有限公司,泰安市,山东省泰安市宁阳县东疏镇后学村,116.635834,35.739723
5,9AE071E859D28FD53C038776CF093B45,河池旺能环保能源有限公司,河池市,河池市德胜生活垃圾处理场内,108.377220,24.674723
6,9AE0E06952A93787A9B490BDD9B98FB5,光大环保能源（常州）有限公司,常州市,常州市武进区遥观镇剑湖村委观庄村208号,120.045998,31.716261
7,24CFF171C301C6AF688A4ECD36C6BF6E,江西洪城康恒环境能源有限公司,南昌市,南昌市昌北经济开发区,115.047218,28.098888
8,C84AC227BD63921A1E86589369A3537A,商丘中电环保发电有限公司,商丘市,河南省商丘市睢阳区郭村镇袁店村南500米,115.499138,34.347630
9,CFED4CB03A71ABF3E7ABC4CE24ACD095,光大环保能源（日照）有限公司,日照市,日照经济技术开发区常州路9号,119.392784,35.343334
10,05447D4F5247EE6BA30BA0046FD112AB,梅州市三峰环保能源有限公司,梅州市,广东省梅州市梅江区西阳镇奇龙坑,116.178665,24.299900
11,C029DE04705675A29C293F895B00D096,凯里盛运环保电力有限公司,黔东南苗族侗族自治州,贵州省凯里市炉山镇,107.453300,26.382900
12,8609CB94471AA9B6013C57FE4038A0C5,平潭北厝垃圾焚烧发电有限公司,福建省,福建省平潭综合实验区北厝镇先建村西壁25号,119.137222,25.801945
