,监测时间,监测因子,监测日期,折算浓度,标准浓度,pscode,mpcode
0,2020-01-01 00:00:00,颗粒物,20200101,1.5,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
1,2020-01-01 00:00:00,二氧化硫,20200101,17.58,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
2,2020-01-01 00:00:00,氮氧化物,20200101,213.88,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
3,2020-01-01 00:00:00,一氧化碳,20200101,3.01,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
4,2020-01-01 00:00:00,氯化氢,20200101,32.95,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
5,2020-01-02 00:00:00,颗粒物,20200102,1.59,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
6,2020-01-02 00:00:00,二氧化硫,20200102,18.77,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
7,2020-01-02 00:00:00,氮氧化物,20200102,232.25,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
8,2020-01-02 00:00:00,一氧化碳,20200102,3.11,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
9,2020-01-02 00:00:00,氯化氢,20200102,34.22,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
10,2020-01-03 00:00:00,颗粒物,20200103,1.66,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
11,2020-01-03 00:00:00,二氧化硫,20200103,19.38,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
12,2020-01-03 00:00:00,氮氧化物,20200103,214.16,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
13,2020-01-03 00:00:00,一氧化碳,20200103,3.08,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
14,2020-01-03 00:00:00,氯化氢,20200103,31.77,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
15,2020-01-04 00:00:00,颗粒物,20200104,1.71,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
16,2020-01-04 00:00:00,二氧化硫,20200104,21.33,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
17,2020-01-04 00:00:00,氮氧化物,20200104,230.62,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
18,2020-01-04 00:00:00,一氧化碳,20200104,3.32,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
19,2020-01-04 00:00:00,氯化氢,20200104,34.05,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
20,2020-01-05 00:00:00,颗粒物,20200105,1.59,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
21,2020-01-05 00:00:00,二氧化硫,20200105,20.25,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
22,2020-01-05 00:00:00,氮氧化物,20200105,233.99,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
23,2020-01-05 00:00:00,一氧化碳,20200105,3.81,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
24,2020-01-05 00:00:00,氯化氢,20200105,32.54,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
25,2020-01-06 00:00:00,颗粒物,20200106,1.52,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
26,2020-01-06 00:00:00,二氧化硫,20200106,18.42,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
27,2020-01-06 00:00:00,氮氧化物,20200106,234.6,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
28,2020-01-06 00:00:00,一氧化碳,20200106,2.68,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
29,2020-01-06 00:00:00,氯化氢,20200106,32.34,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
30,2020-01-07 00:00:00,颗粒物,20200107,1.47,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
31,2020-01-07 00:00:00,二氧化硫,20200107,16.41,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
32,2020-01-07 00:00:00,氮氧化物,20200107,234.2,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
33,2020-01-07 00:00:00,一氧化碳,20200107,2.53,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
34,2020-01-07 00:00:00,氯化氢,20200107,31.55,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
35,2020-01-08 00:00:00,颗粒物,20200108,1.66,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
36,2020-01-08 00:00:00,二氧化硫,20200108,16.69,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
37,2020-01-08 00:00:00,氮氧化物,20200108,178.86,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
38,2020-01-08 00:00:00,一氧化碳,20200108,2.87,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
39,2020-01-08 00:00:00,氯化氢,20200108,34.22,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
40,2020-01-09 00:00:00,颗粒物,20200109,1.61,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
41,2020-01-09 00:00:00,二氧化硫,20200109,16.2,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
42,2020-01-09 00:00:00,氮氧化物,20200109,170.26,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
43,2020-01-09 00:00:00,一氧化碳,20200109,3.21,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
44,2020-01-09 00:00:00,氯化氢,20200109,34.59,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
45,2020-01-10 00:00:00,颗粒物,20200110,1.62,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
46,2020-01-10 00:00:00,二氧化硫,20200110,22.69,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
47,2020-01-10 00:00:00,氮氧化物,20200110,169.95,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
48,2020-01-10 00:00:00,一氧化碳,20200110,4.55,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
49,2020-01-10 00:00:00,氯化氢,20200110,33.0,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7960889BA7D598A0734
