,监测时间,监测因子,监测日期,折算浓度,标准浓度,pscode,mpcode
0,2020-01-01 00:00:00,颗粒物,20200101,0.79,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
1,2020-01-01 00:00:00,二氧化硫,20200101,27.24,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
2,2020-01-01 00:00:00,氮氧化物,20200101,210.34,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
3,2020-01-01 00:00:00,一氧化碳,20200101,2.57,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
4,2020-01-01 00:00:00,氯化氢,20200101,33.98,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
5,2020-01-02 00:00:00,颗粒物,20200102,1.03,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
6,2020-01-02 00:00:00,二氧化硫,20200102,20.98,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
7,2020-01-02 00:00:00,氮氧化物,20200102,224.64,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
8,2020-01-02 00:00:00,一氧化碳,20200102,2.51,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
9,2020-01-02 00:00:00,氯化氢,20200102,30.74,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
10,2020-01-03 00:00:00,颗粒物,20200103,1.14,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
11,2020-01-03 00:00:00,二氧化硫,20200103,28.45,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
12,2020-01-03 00:00:00,氮氧化物,20200103,224.19,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
13,2020-01-03 00:00:00,一氧化碳,20200103,2.15,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
14,2020-01-03 00:00:00,氯化氢,20200103,32.33,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
15,2020-01-04 00:00:00,颗粒物,20200104,1.29,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
16,2020-01-04 00:00:00,二氧化硫,20200104,24.79,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
17,2020-01-04 00:00:00,氮氧化物,20200104,221.41,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
18,2020-01-04 00:00:00,一氧化碳,20200104,2.73,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
19,2020-01-04 00:00:00,氯化氢,20200104,32.51,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
20,2020-01-05 00:00:00,颗粒物,20200105,1.26,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
21,2020-01-05 00:00:00,二氧化硫,20200105,24.95,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
22,2020-01-05 00:00:00,氮氧化物,20200105,218.54,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
23,2020-01-05 00:00:00,一氧化碳,20200105,3.23,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
24,2020-01-05 00:00:00,氯化氢,20200105,32.73,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
25,2020-01-06 00:00:00,颗粒物,20200106,0.89,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
26,2020-01-06 00:00:00,二氧化硫,20200106,26.63,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
27,2020-01-06 00:00:00,氮氧化物,20200106,206.28,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
28,2020-01-06 00:00:00,一氧化碳,20200106,2.36,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
29,2020-01-06 00:00:00,氯化氢,20200106,32.36,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
30,2020-01-07 00:00:00,颗粒物,20200107,0.74,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
31,2020-01-07 00:00:00,二氧化硫,20200107,21.26,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
32,2020-01-07 00:00:00,氮氧化物,20200107,215.43,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
33,2020-01-07 00:00:00,一氧化碳,20200107,1.67,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
34,2020-01-07 00:00:00,氯化氢,20200107,32.77,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
35,2020-01-08 00:00:00,颗粒物,20200108,0.84,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
36,2020-01-08 00:00:00,二氧化硫,20200108,22.43,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
37,2020-01-08 00:00:00,氮氧化物,20200108,171.15,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
38,2020-01-08 00:00:00,一氧化碳,20200108,1.62,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
39,2020-01-08 00:00:00,氯化氢,20200108,31.76,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
40,2020-01-09 00:00:00,颗粒物,20200109,0.9,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
41,2020-01-09 00:00:00,二氧化硫,20200109,28.81,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
42,2020-01-09 00:00:00,氮氧化物,20200109,159.14,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
43,2020-01-09 00:00:00,一氧化碳,20200109,3.17,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
44,2020-01-09 00:00:00,氯化氢,20200109,32.79,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
45,2020-01-10 00:00:00,颗粒物,20200110,1.06,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
46,2020-01-10 00:00:00,二氧化硫,20200110,34.27,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
47,2020-01-10 00:00:00,氮氧化物,20200110,145.2,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
48,2020-01-10 00:00:00,一氧化碳,20200110,2.51,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
49,2020-01-10 00:00:00,氯化氢,20200110,32.68,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
50,2020-01-11 00:00:00,颗粒物,20200111,1.29,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
51,2020-01-11 00:00:00,二氧化硫,20200111,29.32,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
52,2020-01-11 00:00:00,氮氧化物,20200111,141.57,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
53,2020-01-11 00:00:00,一氧化碳,20200111,1.25,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
54,2020-01-11 00:00:00,氯化氢,20200111,32.36,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
55,2020-01-12 00:00:00,颗粒物,20200112,1.2,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
56,2020-01-12 00:00:00,二氧化硫,20200112,25.45,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
57,2020-01-12 00:00:00,氮氧化物,20200112,146.62,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
58,2020-01-12 00:00:00,一氧化碳,20200112,1.6,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
59,2020-01-12 00:00:00,氯化氢,20200112,31.98,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
60,2020-01-13 00:00:00,颗粒物,20200113,1.33,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
61,2020-01-13 00:00:00,二氧化硫,20200113,23.84,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
62,2020-01-13 00:00:00,氮氧化物,20200113,159.48,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
63,2020-01-13 00:00:00,一氧化碳,20200113,2.85,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
64,2020-01-13 00:00:00,氯化氢,20200113,33.45,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
65,2020-01-14 00:00:00,颗粒物,20200114,1.2,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
66,2020-01-14 00:00:00,二氧化硫,20200114,23.0,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
67,2020-01-14 00:00:00,氮氧化物,20200114,165.14,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
68,2020-01-14 00:00:00,一氧化碳,20200114,1.95,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
69,2020-01-14 00:00:00,氯化氢,20200114,33.09,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
70,2020-01-15 00:00:00,颗粒物,20200115,0.92,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
71,2020-01-15 00:00:00,二氧化硫,20200115,22.77,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
72,2020-01-15 00:00:00,氮氧化物,20200115,168.64,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
73,2020-01-15 00:00:00,一氧化碳,20200115,2.24,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
74,2020-01-15 00:00:00,氯化氢,20200115,34.62,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
75,2020-01-16 00:00:00,颗粒物,20200116,0.92,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
76,2020-01-16 00:00:00,二氧化硫,20200116,20.19,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
77,2020-01-16 00:00:00,氮氧化物,20200116,168.89,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
78,2020-01-16 00:00:00,一氧化碳,20200116,3.25,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
79,2020-01-16 00:00:00,氯化氢,20200116,33.35,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
80,2020-01-17 00:00:00,颗粒物,20200117,1.1,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
81,2020-01-17 00:00:00,二氧化硫,20200117,22.46,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
82,2020-01-17 00:00:00,氮氧化物,20200117,158.66,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
83,2020-01-17 00:00:00,一氧化碳,20200117,2.69,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
84,2020-01-17 00:00:00,氯化氢,20200117,32.78,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
85,2020-01-18 00:00:00,颗粒物,20200118,1.27,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF7968A8597DEFF1BA476
