,监测时间,监测因子,监测日期,折算浓度,标准浓度,pscode,mpcode
0,2020-01-01 00:00:00,颗粒物,20200101,null,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
1,2020-01-01 00:00:00,二氧化硫,20200101,null,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
2,2020-01-01 00:00:00,氮氧化物,20200101,null,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
3,2020-01-01 00:00:00,一氧化碳,20200101,null,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
4,2020-01-01 00:00:00,氯化氢,20200101,null,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
5,2020-01-02 00:00:00,颗粒物,20200102,null,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
6,2020-01-02 00:00:00,二氧化硫,20200102,null,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
7,2020-01-02 00:00:00,氮氧化物,20200102,null,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
8,2020-01-02 00:00:00,一氧化碳,20200102,null,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
9,2020-01-02 00:00:00,氯化氢,20200102,null,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
10,2020-01-03 00:00:00,颗粒物,20200103,null,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
11,2020-01-03 00:00:00,二氧化硫,20200103,null,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
12,2020-01-03 00:00:00,氮氧化物,20200103,null,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
13,2020-01-03 00:00:00,一氧化碳,20200103,null,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
14,2020-01-03 00:00:00,氯化氢,20200103,null,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
15,2020-01-04 00:00:00,颗粒物,20200104,null,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
16,2020-01-04 00:00:00,二氧化硫,20200104,null,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
17,2020-01-04 00:00:00,氮氧化物,20200104,null,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
18,2020-01-04 00:00:00,一氧化碳,20200104,null,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
19,2020-01-04 00:00:00,氯化氢,20200104,null,50,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
20,2020-01-05 00:00:00,颗粒物,20200105,null,20,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
21,2020-01-05 00:00:00,二氧化硫,20200105,null,80,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
22,2020-01-05 00:00:00,氮氧化物,20200105,null,250,0A7A58EFC1ABF796FB70BE94EA7FEAD5,0A7A58EFC1ABF796C3890417CB2FC988
