,监测时间,监测因子,监测日期,折算浓度,标准浓度,pscode,mpcode
0,2020-01-01 00:00:00,颗粒物,20200101,4.12,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
1,2020-01-01 00:00:00,二氧化硫,20200101,7.35,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
2,2020-01-01 00:00:00,氮氧化物,20200101,134.95,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
3,2020-01-01 00:00:00,一氧化碳,20200101,8.08,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
4,2020-01-01 00:00:00,氯化氢,20200101,0.26,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
5,2020-01-02 00:00:00,颗粒物,20200102,4.22,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
6,2020-01-02 00:00:00,二氧化硫,20200102,7.32,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
7,2020-01-02 00:00:00,氮氧化物,20200102,131.61,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
8,2020-01-02 00:00:00,一氧化碳,20200102,9.61,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
9,2020-01-02 00:00:00,氯化氢,20200102,1.03,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
10,2020-01-03 00:00:00,颗粒物,20200103,4.0,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
11,2020-01-03 00:00:00,二氧化硫,20200103,7.83,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
12,2020-01-03 00:00:00,氮氧化物,20200103,131.45,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
13,2020-01-03 00:00:00,一氧化碳,20200103,10.85,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
14,2020-01-03 00:00:00,氯化氢,20200103,1.65,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
15,2020-01-04 00:00:00,颗粒物,20200104,4.08,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
16,2020-01-04 00:00:00,二氧化硫,20200104,7.01,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
17,2020-01-04 00:00:00,氮氧化物,20200104,133.52,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
18,2020-01-04 00:00:00,一氧化碳,20200104,11.73,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
19,2020-01-04 00:00:00,氯化氢,20200104,1.33,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
20,2020-01-05 00:00:00,颗粒物,20200105,4.12,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F2E1A03B8AA519715
