,监测时间,监测因子,监测日期,折算浓度,标准浓度,pscode,mpcode
0,2020-01-01 00:00:00,颗粒物,20200101,3.57,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
1,2020-01-01 00:00:00,二氧化硫,20200101,12.84,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
2,2020-01-01 00:00:00,氮氧化物,20200101,124.89,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
3,2020-01-01 00:00:00,一氧化碳,20200101,2.62,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
4,2020-01-01 00:00:00,氯化氢,20200101,1.86,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
5,2020-01-02 00:00:00,颗粒物,20200102,3.55,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
6,2020-01-02 00:00:00,二氧化硫,20200102,12.0,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
7,2020-01-02 00:00:00,氮氧化物,20200102,122.15,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
8,2020-01-02 00:00:00,一氧化碳,20200102,3.31,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
9,2020-01-02 00:00:00,氯化氢,20200102,1.68,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
10,2020-01-03 00:00:00,颗粒物,20200103,3.46,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
11,2020-01-03 00:00:00,二氧化硫,20200103,13.15,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
12,2020-01-03 00:00:00,氮氧化物,20200103,130.14,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
13,2020-01-03 00:00:00,一氧化碳,20200103,3.14,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
14,2020-01-03 00:00:00,氯化氢,20200103,2.23,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
15,2020-01-04 00:00:00,颗粒物,20200104,3.5,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
16,2020-01-04 00:00:00,二氧化硫,20200104,12.24,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
17,2020-01-04 00:00:00,氮氧化物,20200104,123.08,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
18,2020-01-04 00:00:00,一氧化碳,20200104,3.31,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
19,2020-01-04 00:00:00,氯化氢,20200104,2.22,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
20,2020-01-05 00:00:00,颗粒物,20200105,3.5,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
21,2020-01-05 00:00:00,二氧化硫,20200105,13.82,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
22,2020-01-05 00:00:00,氮氧化物,20200105,116.71,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
23,2020-01-05 00:00:00,一氧化碳,20200105,3.32,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
24,2020-01-05 00:00:00,氯化氢,20200105,2.9,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
