,监测时间,监测因子,监测日期,折算浓度,标准浓度,pscode,mpcode
0,2020-01-01 00:00:00,颗粒物,20200101,2.8,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
1,2020-01-01 00:00:00,二氧化硫,20200101,12.7,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
2,2020-01-01 00:00:00,氮氧化物,20200101,128.5,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
3,2020-01-01 00:00:00,一氧化碳,20200101,5.51,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
4,2020-01-01 00:00:00,氯化氢,20200101,0.96,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
5,2020-01-02 00:00:00,颗粒物,20200102,3.22,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
6,2020-01-02 00:00:00,二氧化硫,20200102,15.55,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
7,2020-01-02 00:00:00,氮氧化物,20200102,123.39,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
8,2020-01-02 00:00:00,一氧化碳,20200102,5.6,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
9,2020-01-02 00:00:00,氯化氢,20200102,0.99,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
10,2020-01-03 00:00:00,颗粒物,20200103,3.33,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
11,2020-01-03 00:00:00,二氧化硫,20200103,19.07,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
12,2020-01-03 00:00:00,氮氧化物,20200103,119.71,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
13,2020-01-03 00:00:00,一氧化碳,20200103,5.21,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
